Genus_spp,Orientation,current,Habitat_Type,os_ht,median_dens,mean_dens,sd_dens,max_dens,min_dens,cluster,os
Paralabrax clathratus,Parallel,Down-current,High Ecotone,East Parallel Ecotone_High,3.125,2.34375,2.7063293868263707,9.375,0,Group 3,Inshore
Paralabrax clathratus,Parallel,Down-current,Low Ecotone,East Parallel Ecotone_Low,1.5625,2.0833333333333335,2.773829264370608,9.375,0,Group 3,Inshore
Paralabrax clathratus,Parallel,Down-current,Medium Ecotone,East Parallel Ecotone_Medium,3.125,5.46875,4.827456098854099,15.625,0,Group 3,Inshore
Paralabrax clathratus,Parallel,Down-current,Medium Relief,East Parallel Mid_Medium,2.8325569808317077,4.926538877443906,6.003427973773992,21.11955187762633,0,Group 3,Inshore
Paralabrax clathratus,Parallel,Down-current,Low Relief,East Parallel Mid_Low,3.004550082478105,3.4766738981244765,2.2664664995962753,7.226667029188137,0,Group 4,Inshore
Paralabrax clathratus,Parallel,Up-current,Low Ecotone,West Parallel Ecotone_Low,6.25,9.114583333333334,9.651080122860797,25,0,Group 4,Offshore
Paralabrax clathratus,Parallel,Up-current,Medium Ecotone,West Parallel Ecotone_Medium,3.125,3.125,3.2639560491693347,9.375,0,Group 4,Offshore
Paralabrax clathratus,Perpendicular,Down-current,Low Relief,East Perpendicular Mid_Low,0,1.1517314632440183,1.7851450780447824,3.5443302052695502,0,Group 4,East
Paralabrax clathratus,Perpendicular,Up-current,High Ecotone,West Perpendicular Ecotone_High,4.6875,7.8125,9.003037681804958,25,0,Group 4,West
Paralabrax clathratus,Parallel,Down-current,High Relief,East Parallel Mid_High,10.721934037298738,10.346537869710765,6.600931323544219,23.106273933026003,0,Group 5,Inshore
Paralabrax clathratus,Parallel,Up-current,Low Relief,West Parallel Mid_Low,6.235091721042966,7.970839161023188,4.853222191955649,17.46870708950565,2.4621590275671905,Group 5,Offshore
Paralabrax clathratus,Perpendicular,Down-current,Low Ecotone,East Perpendicular Ecotone_Low,3.125,2.0833333333333335,1.613743060919757,3.125,0,Group 5,East
Paralabrax clathratus,Perpendicular,Down-current,Medium Ecotone,East Perpendicular Ecotone_Medium,3.125,3.125,2.7950849718747373,6.25,0,Group 5,East
Paralabrax clathratus,Perpendicular,Down-current,Medium Relief,East Perpendicular Mid_Medium,4.00958579315748,3.752809909953274,3.391375291109872,8.251646268623276,0,Group 5,East
Paralabrax clathratus,Perpendicular,Up-current,Low Ecotone,West Perpendicular Ecotone_Low,3.125,4.166666666666667,4.704829079431756,9.375,0,Group 5,West
Paralabrax clathratus,Perpendicular,Up-current,Low Relief,West Perpendicular Mid_Low,6.49003106381305,7.884784951839302,3.920366233467506,14.314038158027861,3.590048465010578,Group 5,West
